GEO.id,Geographic identifier code
GEO.id2,Id2
GEO.display-label,Geographic area name
GEO.type-flag,Type of geography flag
GEO.fips-state-code,FIPS state code
GEO.fips-county-code,FIPS county code
GEO.fips-csa-code,FIPS Combined Statistical Area code
GEO.fips-msa-code,FIPS Metropolitan Statistical Area or Micropolitan Statistical Area code
GEO.fips-md-code,FIPS Metropolitan Division code
NAICS.id,2012 NAICS code
NAICS.display-label,Meaning of 2012 NAICS code
YEAR.id,Year
YEAR.display-label,Meaning of Year
ESTAB,Number of establishments
EMP,Paid employees for pay period including March 12 (number)
EMP_N,Noise range for number of paid employees for pay period including March 12 
PAYQTR1,"First-quarter payroll ($1,000)"
PAYQTR1_N,Noise range for first-quarter payroll (%)
PAYANN,"Annual payroll ($1,000)"
PAYANN_N,Noise range for annual payroll 
